wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
1253.0,1.000000000,0.060454801,0.003113170,0.000053090
1254.0,1.000000000,0.060472600,0.003116230,0.000053060
1255.0,1.000000000,0.060473401,0.003117170,0.000053160
1256.0,1.000000000,0.060454600,0.003120260,0.000053240
1257.0,1.000000000,0.060524099,0.003123240,0.000053310
1258.0,1.000000000,0.060562201,0.003124050,0.000053460
1259.0,1.000000000,0.060603201,0.003127180,0.000053530
1260.0,1.000000000,0.060642101,0.003131330,0.000053400
1261.0,1.000000000,0.060628999,0.003131480,0.000053480
1262.0,1.000000000,0.060618199,0.003129320,0.000053520
1263.0,1.000000000,0.060655199,0.003137370,0.000053620
1264.0,1.000000000,0.060671199,0.003137750,0.000053770
1265.0,1.000000000,0.060736001,0.003143250,0.000053910
1266.0,1.000000000,0.060737401,0.003145540,0.000053940
1267.0,1.000000000,0.060783099,0.003148750,0.000053980
1268.0,1.000000000,0.060853500,0.003152040,0.000054160
1269.0,1.000000000,0.060862701,0.003156670,0.000054270
1270.0,1.000000000,0.060915701,0.003159290,0.000054250
1271.0,1.000000000,0.060904600,0.003160770,0.000054320
1272.0,1.000000000,0.060899399,0.003163660,0.000054490
1273.0,1.000000000,0.061003800,0.003169650,0.000054610
1274.0,1.000000000,0.061021499,0.003172090,0.000054630
1275.0,1.000000000,0.061039701,0.003173890,0.000054800
1276.0,1.000000000,0.061079800,0.003177720,0.000055000
1277.0,1.000000000,0.061127100,0.003183300,0.000055020
1278.0,1.000000000,0.061228801,0.003188970,0.000055100
1279.0,1.000000000,0.061190899,0.003190950,0.000055140
1280.0,1.000000000,0.061251599,0.003194100,0.000055200
1281.0,1.000000000,0.061148100,0.003192660,0.000055290
1282.0,1.000000000,0.061308499,0.003203970,0.000055440
1283.0,1.000000000,0.061326299,0.003208510,0.000055580
1284.0,1.000000000,0.061372101,0.003212420,0.000055730
1285.0,1.000000000,0.061463501,0.003216720,0.000055780
1286.0,1.000000000,0.061454002,0.003219280,0.000055850
1287.0,1.000000000,0.061552100,0.003226000,0.000056030
1288.0,1.000000000,0.061501700,0.003223730,0.000056210
1289.0,1.000000000,0.061647300,0.003237350,0.000056390
1290.0,1.000000000,0.061631698,0.003237880,0.000056520
1291.0,1.000000000,0.061672900,0.003241970,0.000056630
1292.0,1.000000000,0.061744101,0.003249430,0.000056770
1293.0,1.000000000,0.061811700,0.003256420,0.000056940
1294.0,1.000000000,0.061788600,0.003256520,0.000057060
1295.0,1.000000000,0.061866999,0.003263250,0.000057190
1296.0,1.000000000,0.061928201,0.003269160,0.000057320
1297.0,1.000000000,0.061992001,0.003276390,0.000057580
1298.0,1.000000000,0.062019400,0.003281680,0.000057620
1299.0,1.000000000,0.062067501,0.003288390,0.000057850
1300.0,1.000000000,0.062166002,0.003295800,0.000058050
1301.0,1.000000000,0.062197000,0.003298410,0.000058160
1302.0,1.000000000,0.062248800,0.003304900,0.000058310
1303.0,1.000000000,0.062303301,0.003311060,0.000058530
1304.0,1.000000000,0.062403299,0.003318950,0.000058650
1305.0,1.000000000,0.062388498,0.003322530,0.000058900
1306.0,1.000000000,0.062511697,0.003332860,0.000059090
1307.0,1.000000000,0.062516198,0.003336390,0.000059260
1308.0,1.000000000,0.062621802,0.003345150,0.000059370
1309.0,1.000000000,0.062650800,0.003351110,0.000059570
1310.0,1.000000000,0.062732898,0.003356360,0.000059710
1311.0,1.000000000,0.062792100,0.003360840,0.000059930
1312.0,1.000000000,0.062883303,0.003368830,0.000060220
1313.0,1.000000000,0.062882401,0.003376700,0.000060480
1314.0,1.000000000,0.062995099,0.003385570,0.000060630
1315.0,1.000000000,0.063084804,0.003392680,0.000060940
1316.0,1.000000000,0.063118003,0.003400150,0.000061080
1317.0,1.000000000,0.063175000,0.003408200,0.000061310
1318.0,1.000000000,0.063284501,0.003416860,0.000061520
1319.0,1.000000000,0.063344397,0.003422900,0.000061740
1320.0,1.000000000,0.063352302,0.003427630,0.000061860
1321.0,1.000000000,0.063479804,0.003439900,0.000062250
1322.0,1.000000000,0.063573599,0.003449110,0.000062440
1323.0,1.000000000,0.063584000,0.003453600,0.000062690
1324.0,1.000000000,0.063703999,0.003462030,0.000062930
1325.0,1.000000000,0.063701101,0.003465580,0.000063110
1326.0,1.000000000,0.063827500,0.003476730,0.000063370
1327.0,1.000000000,0.063916199,0.003488790,0.000063600
1328.0,1.000000000,0.063963301,0.003493700,0.000063960
1329.0,1.000000000,0.064102203,0.003506520,0.000064260
1330.0,1.000000000,0.064003102,0.003509500,0.000064410
1331.0,1.000000000,0.064149603,0.003520320,0.000064750
1332.0,1.000000000,0.064285502,0.003532450,0.000064960
1333.0,1.000000000,0.064340897,0.003540760,0.000065270
1334.0,1.000000000,0.064443000,0.003549880,0.000065640
1335.0,1.000000000,0.064542800,0.003559290,0.000065810
1336.0,1.000000000,0.064643100,0.003569680,0.000066180
1337.0,1.000000000,0.064675704,0.003576970,0.000066570
1338.0,1.000000000,0.064763702,0.003586760,0.000066940
1339.0,1.000000000,0.064848997,0.003595770,0.000067230
1340.0,1.000000000,0.064930797,0.003605650,0.000067580
1341.0,1.000000000,0.065040901,0.003616890,0.000067740
1342.0,1.000000000,0.065110400,0.003625280,0.000068000
1343.0,1.000000000,0.065235503,0.003637410,0.000068420
1344.0,1.000000000,0.065289900,0.003645480,0.000068780
1345.0,1.000000000,0.065381601,0.003656240,0.000069080
1346.0,1.000000000,0.065468997,0.003667120,0.000069490
1347.0,1.000000000,0.065537199,0.003676180,0.000069920
1348.0,1.000000000,0.065637201,0.003686690,0.000070090
1349.0,1.000000000,0.065732002,0.003698910,0.000070670
1350.0,1.000000000,0.065869398,0.003710390,0.000071080
1351.0,1.000000000,0.066012099,0.003723970,0.000071440
1352.0,1.000000000,0.066036403,0.003730350,0.000071830
1353.0,1.000000000,0.066202499,0.003746280,0.000072290
1354.0,1.000000000,0.066190399,0.003750940,0.000072610
1355.0,1.000000000,0.066299297,0.003763110,0.000073060
1356.0,1.000000000,0.066361599,0.003771920,0.000073430
1357.0,1.000000000,0.066513002,0.003788630,0.000073820
